ZoomInfo Company ID,Founded Year,Revenue (in 000s USD),Revenue Range (in USD),Est. Marketing Department Budget (in 000s USD),Est. Finance Department Budget (in 000s USD),Est. IT Department Budget (in 000s USD),Est. HR Department Budget (in 000s USD),Employees,Employee Range,Past 1 Year Employee Growth Rate,Past 2 Year Employee Growth Rate,SIC Code 1,SIC Code 2,SIC Codes,NAICS Code 1,NAICS Code 2,NAICS Codes,Primary Industry,Primary Sub-Industry,All Industries,All Sub-Industries,Industry Hierarchical Category,Secondary Industry Hierarchical Category,Alexa Rank,Ownership Type,Business Model,Certified Active Company,Certification Date,Total Funding Amount (in 000s USD),Recent Funding Amount (in 000s USD),Recent Funding Round,Recent Funding Date,Recent Investors,All Investors,Company City,Company State,Company Zip Code,Company Country,Number of Locations,Company Is Acquired,Company ID (Ultimate Parent),Company ID (Immediate Parent)
146703376,2001,17730,$10 mil. - $25 mil.,1436,265,656,219,79,Employees.50to99,0,0,4581,458,45;458;4581,488190,48819,48;488;4881;48819;488190,Transportation,"Airlines, Airports & Air Services",Transportation,"Airlines, Airports & Air Services",transportation,transportation.airline,20913633,Private,B2B,Yes,3-Oct-19,0,0,,,,,Miami,Florida,33166,United States,11,,,
197165083,2003,122207,$100 mil. - $250 mil.,9898,1833,4521,1411,361,Employees.250to499,20.3,22.4,3499,3448,33;335;3354;34;349;3499;333;3334;344;3448;342;3429;3355,332999,332510,33;331;3313;33131;331313;332;3325;33251;332510;3329;33299;332999;3323;33231;332311;331318,Manufacturing,Building Materials,Manufacturing,Building Materials,mfg,mfg.building,313287,Private,B2B,Yes,5-Aug-20,2000,0,Private Equity,3-Mar-21,MPE Partners,PPP;MPE Partners,Columbia City,Indiana,46725,United States,7,,,
111429622,1905,974,"$500,000 - $1 mil.",,,,21,9,Employees.5to9,0,0,8611,861,86;861;8611,813910,81391,81;813;8139;81391;813910,Organizations,Membership Organizations,Organizations,Membership Organizations,orgs,orgs.membership,,Private,B2B,Yes,13-Dec-19,150,150,Debt,7-Apr-20,PPP,PPP,Van Wert,Ohio,45891,United States,3,,,
3754669,1986,60932,$50 mil. - $100 mil.,7982,609,2132,645,250,Employees.250to499,0,0,7389,7379,73;737;7379;7374;7371;738;7389;7376;7373,541519,541513,54;541;5415;54151;541512;51;517;5178;51781;517810;541519;541511;518;5182;51821;518210;541513,Business Services,Custom Software & IT Services,Business Services,Custom Software & IT Services,bizservice,bizservice.techconsulting,4714016,Private,B2B,Yes,22-Apr-22,2000,2000,Debt,15-Apr-20,PPP,PPP,New York City,New York,10004,United States,3,,,
103383539,1967,427451,$250 mil. - $500 mil.,21372,4274,8121,6000,3444,Employees.1000to4999,9.8,-0.1,8249,1629,82;824;8249;16;162;1629,237990,23799,23;237;2379;23799;237990,Construction,Civil Engineering Construction,Construction,Civil Engineering Construction,construction,construction.civil,1898954,Private,B2B,Yes,4-Jan-24,0,0,,,,,Odessa,Texas,79766,United States,24,,,
16614174,1869,10165000,Over $5 bil.,1240130,101650,203300,13400,9400,Employees.5000to9999,5.7,9.3,5063,5045,50;504;5045;506;5063,449210,423610,44;449;4492;44921;449210;42;423;4236;42361;423610,Retail,Consumer Electronics & Computers Retail,Retail,Consumer Electronics & Computers Retail,retail,retail.computer,154419,Private,B2B,Yes,24-Feb-24,750000,750000,Debt,13-Aug-18,"Regions;Bank of America Merrill Lynch;PNC Capital Markets LLC;JPMorgan Chase;Fifth Third Bank;Wells Fargo Securities, LLC;Commerce Bank;BMO Capital Markets Corp.;Branch Banking and Trust Company;Comerica;U.S. Bank National Association","Regions;Bank of America Merrill Lynch;PNC Capital Markets LLC;JPMorgan Chase;Fifth Third Bank;Wells Fargo Securities, LLC;Commerce Bank;BMO Capital Markets Corp.;Branch Banking and Trust Company;Comerica;U.S. Bank National Association",Clayton,Missouri,63105,United States,265,,,
369319109,1998,2757,$1 mil. - $5 mil.,317,27,71,39,17,Employees.10to19,-19,0,7922,792,79;792;7922,711110,71111,71;711;7111;71111;711110,Hospitality,Fitness & Dance Facilities,Hospitality,Fitness & Dance Facilities,hospitality,hospitality.fitness,,Private,B2C,No,,0,0,,,,,Cleveland,Ohio,44121,United States,4,,,
4736666,1994,14897,$10 mil. - $25 mil.,1206,223,551,269,78,Employees.50to99,5.4,5.4,3599,3086,35;359;3599;30;308;3086,332710,326150,33;332;3327;33271;332710;32;326;3261;32615;326150;325;3252;32521;325211,Manufacturing,"Plastic, Packaging & Containers",Manufacturing,"Plastic, Packaging & Containers",mfg,mfg.plastic,7701390,Private,B2B,Yes,9-Jun-22,1000,1000,Debt,4-Apr-20,PPP,PPP,Gwinn,Michigan,49841,United States,4,,,
37962980,2002,359011,$250 mil. - $500 mil.,47030,3590,12565,2566,1473,Employees.1000to4999,0,0,7389,7379,73;737;7379;738;7389;7374;7371;7372,541519,541512,51;518;5182;51821;518210;54;541;5415;54151;541512;513;5132;51321;513210;541519;516;5162;51621;541511,Business Services,Custom Software & IT Services,Business Services;Software,Custom Software & IT Services;Business Intelligence (BI) Software;Engineering Software,bizservice,bizservice.techconsulting,1293801,Private,B2B,Yes,19-Feb-24,5000,5000,Debt,7-Apr-20,PPP,PPP,Irvine,California,92618,United States,25,Yes,18579882,18579882
37934049,1907,402243547,Over $5 bil.,20112177,4022435,11665062,209665,93000,Employees.10000plus,0,0,5541,4925,49;492;4925;55;554;5541;28;281;2819,457120,221210,22;221;2212;22121;221210;45;457;4571;45712;457120;21;211;2111;21113;211130,Retail,"Convenience Stores, Gas Stations & Liquor Stores","Retail;Energy, Utilities & Waste","Convenience Stores, Gas Stations & Liquor Stores;Electricity, Oil & Gas",retail,retail.conveniencestore,13708,Public,B2C,Yes,14-Feb-24,0,0,,,,,London,Greater London,SE1 7NA,United Kingdom,59,,,
346642163,2008,42063500,Over $5 bil.,2103175,420635,1219841,8152,3616,Employees.1000to4999,12.2,12.2,8611,1311,86;861;8611;13;131;1311,813910,211120,81;813;8139;81391;813910;21;211;2111;21112;211120,"Energy, Utilities & Waste",Oil & Gas Exploration & Services,"Energy, Utilities & Waste",Oil & Gas Exploration & Services,energy,energy.services,3449826,Public,B2B,Yes,5-Feb-24,0,0,,,,,Parsippany,New Jersey,7054,United States,28,,,
241697115,1973,60086,$50 mil. - $100 mil.,4686,450,3244,501,236,Employees.100to249,18.6,28.3,6029,6021,60;602;6021;6029,522110,52211,52;522;5221;52211;522110,Finance,Banking,Finance,Banking,finance,finance.banking,633181,Private,B2B,Yes,26-Feb-24,0,0,,,,,Baytown,Texas,77521,United States,36,,,
344776943,2003,5515,$5 mil. - $10 mil.,722,55,193,60,26,Employees.20to49,0,0,7376,737,73;737;7376,541513,54151,54;541;5415;54151;541513,Business Services,Custom Software & IT Services,Business Services,Custom Software & IT Services,bizservice,bizservice.techconsulting,7584996,Private,B2C,Yes,28-Nov-23,0,0,,,,,Oakland,California,94612,United States,7,,,
