Company ID,Total Billing Across Portfolio Last Month,Marvin Gardens,Park Place,Boardwalk,Ventnor,St. James Place,Tennessee,Kentucky,Pennslyvania,,,,,,,,,,
387494486,0.00034951,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00681146,0.00000000,0.00000000,,,,,,,,,,
97912844,0.00078403,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01707488,0.00000000,,,,,,,,,,
46925340,0.00077046,0.00089562,0.00000000,0.00000000,0.00000000,-0.00031792,0.00000000,-0.00125810,0.00000000,,,,,,,,,,
368572921,0.36277566,0.07974148,0.02744121,0.22683824,0.86773849,0.94984360,0.60459389,0.19223695,0.00000000,,,,,,,,,,
126828694,0.44549270,0.20316067,1.00000000,0.28780057,0.31619762,0.34845004,0.38110932,0.12616243,0.00000000,,,,,,,,,,
345067056,0.00073420,0.00073420,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
37831131,0.05755280,0.00843171,0.10333828,0.00000000,0.00740751,0.05387277,0.51143091,0.00000000,0.00000000,,,,,,,,,,
15616792,0.00261409,0.00261409,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
347666212,0.00278145,0.00278145,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
127582501,0.01101953,0.00000000,0.05270457,0.00000000,0.00000000,0.00000000,0.10233065,0.00000000,0.00000000,,,,,,,,,,
41732466,0.00548908,0.00548908,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
112755124,0.00685084,0.00000000,0.04115773,0.00000000,0.00000000,0.00000000,0.04571933,0.00000000,0.00000000,,,,,,,,,,
50466149,0.01650500,0.00000000,0.00000000,0.04043439,0.00000000,0.00206974,0.11573789,0.13679143,0.00000000,,,,,,,,,,
470674229,0.00291967,0.00291967,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
48041812,0.07963198,0.03565600,0.00000000,0.00000000,1.00000000,0.00000000,0.46970626,0.00000000,0.00000000,,,,,,,,,,
190857276,0.15129207,0.06135659,0.16081652,0.49217830,0.59384315,0.03311373,0.13041327,0.00000000,0.00000000,,,,,,,,,,
8929846,0.02451923,0.01101801,0.00000000,0.00000000,0.07218354,0.03075301,0.04033508,0.07573768,0.00000000,,,,,,,,,,
18434936,0.09641742,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.02513735,0.00000000,0.00000000,,,,,,,,,,
68913190,0.20947133,0.11666744,0.27392468,0.08637257,0.05276391,0.08151418,0.65163369,0.06184698,0.00000000,,,,,,,,,,
1475361,0.05361595,0.01729803,0.00094421,0.03604987,0.00313023,0.00000000,0.63772377,0.00000000,0.00000000,,,,,,,,,,
73056892,0.00004336,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00084498,0.00000000,0.00000000,,,,,,,,,,
118718550,0.00957125,0.00000000,0.02703653,0.03058258,0.15935420,0.00000000,0.00000000,0.01166670,0.00000000,,,,,,,,,,
25543595,0.01230222,0.00000000,0.05720985,0.00000000,0.00000000,0.00000000,0.11771820,0.00000000,0.00000000,,,,,,,,,,
369784430,-0.00002611,0.00000000,0.00000000,-0.00027448,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
2903082,0.02182621,0.01942327,0.00000000,0.00000000,0.00000000,0.00000000,0.04682967,0.00000000,0.00000000,,,,,,,,,,
25987521,0.02281073,0.00329434,0.05018544,0.05406357,0.03716669,0.01017435,0.09038192,0.02934113,0.00000000,,,,,,,,,,
47563467,0.04013081,0.00000000,0.00380803,0.41748155,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
26988006,0.00097736,0.00097736,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
313065571,0.06600109,0.00322213,0.00108033,0.04388623,0.20016064,0.12593648,0.46739819,0.08335669,0.00000000,,,,,,,,,,
14090269,0.04701144,0.00000000,0.00000000,0.00000000,0.00000000,0.22176361,0.00000000,0.00000000,0.00000000,,,,,,,,,,
